"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"filterbubbles_ver1.2.nlogo"
"experiment"
"05/19/2025 11:38:41:351 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","acceptance-latitude","acceptance-sharpness","[step]","number-of-bubbles","biggest-cluster-tightness","biggest-cluster-size"
"353","0.3","20","1002","5","0.4","33"
"349","0.3","19","1001","4","0.4","43"
"355","0.3","20","1001","4","0.4","39"
"352","0.3","20","1001","3","2.3","52"
"356","0.3","20","1001","5","0.4","33"
"357","0.3","20","1001","4","0.4","43"
"359","0.3","20","1001","5","0.4","40"
"358","0.3","20","1001","4","0.4","58"
"354","0.3","20","1001","4","0.4","56"
"360","0.3","20","1001","3","3.1","55"
"361","0.4","3","1001","1","0.6","100"
"363","0.4","3","1001","1","0.6","100"
"362","0.4","3","1001","1","0.5","100"
"365","0.4","3","1001","1","0.6","100"
"367","0.4","3","1001","1","0.5","100"
"368","0.4","3","1001","1","0.6","100"
"369","0.4","3","1001","1","0.5","100"
"370","0.4","3","1001","1","0.6","100"
"366","0.4","3","1001","1","0.5","100"
"364","0.4","3","1001","1","0.4","100"
"371","0.4","4","1001","1","0.5","100"
"372","0.4","4","1001","1","0.6","100"
"373","0.4","4","1001","1","0.5","100"
"374","0.4","4","1001","1","0.4","100"
"375","0.4","4","1001","1","0.6","100"
"376","0.4","4","1001","1","0.6","100"
"377","0.4","4","1001","1","0.5","100"
"378","0.4","4","1001","1","0.5","100"
"379","0.4","4","1001","1","0.6","100"
"380","0.4","4","1001","1","0.5","100"
"381","0.4","5","1001","1","0.5","100"
"382","0.4","5","1001","1","0.5","100"
"383","0.4","5","1001","1","0.6","100"
"384","0.4","5","1001","1","0.5","100"
"385","0.4","5","1001","1","0.3","100"
"386","0.4","5","1001","1","0.6","100"
"388","0.4","5","1001","1","0.6","100"
"387","0.4","5","1001","1","0.6","100"
"389","0.4","5","1001","1","0.5","100"
"391","0.4","6","1001","1","0.6","100"
"392","0.4","6","1001","1","0.7","100"
"390","0.4","5","1001","1","0.5","100"
"394","0.4","6","1001","1","0.4","100"
"393","0.4","6","1001","1","0.6","100"
"401","0.4","7","1001","1","7.4","100"
"404","0.4","7","1001","1","6.5","100"
"395","0.4","6","1001","1","0.5","100"
"396","0.4","6","1001","1","0.6","100"
"397","0.4","6","1001","1","0.5","100"
"398","0.4","6","1001","1","0.5","100"
"399","0.4","6","1001","1","0.5","100"
"400","0.4","6","1001","1","0.7","100"
"402","0.4","7","1001","1","0.7","100"
"403","0.4","7","1001","1","0.5","100"
"414","0.4","8","1001","2","0.7","58"
"412","0.4","8","1001","1","5.5","100"
"411","0.4","8","1001","1","0.6","100"
"407","0.4","7","1001","1","0.5","100"
"408","0.4","7","1001","1","0.5","100"
"406","0.4","7","1001","1","0.6","100"
"405","0.4","7","1001","1","0.5","100"
"413","0.4","8","1001","1","0.6","100"
"409","0.4","7","1001","1","0.5","100"
"415","0.4","8","1001","1","0.6","100"
"416","0.4","8","1001","1","0.5","100"
"410","0.4","7","1001","1","0.5","100"
"418","0.4","8","1001","1","6.3","100"
"421","0.4","9","1001","2","0.5","66"
"417","0.4","8","1001","1","0.6","100"
"419","0.4","8","1001","1","0.6","100"
"420","0.4","8","1001","1","0.6","100"
"425","0.4","9","1001","2","0.6","57"
"427","0.4","9","1001","2","0.5","72"
"426","0.4","9","1001","2","0.7","74"
"429","0.4","9","1001","2","0.5","74"
"428","0.4","9","1001","2","0.5","53"
"424","0.4","9","1001","2","0.6","90"
"423","0.4","9","1001","1","0.5","100"
"422","0.4","9","1001","1","0.6","100"
"430","0.4","9","1001","1","3.7","100"
"431","0.4","10","1001","2","0.6","63"
"436","0.4","10","1001","3","0.7","62"
"435","0.4","10","1001","2","5.1","99"
"439","0.4","10","1001","2","0.7","51"
"432","0.4","10","1001","1","0.6","100"
"433","0.4","10","1001","1","0.6","100"
"437","0.4","10","1001","1","0.5","100"
"434","0.4","10","1001","2","0.5","80"
"441","0.4","11","1001","2","0.7","69"
"443","0.4","11","1001","2","0.6","81"
"444","0.4","11","1001","2","0.6","66"
"446","0.4","11","1001","3","0.6","55"
"438","0.4","10","1001","1","0.6","100"
"440","0.4","10","1001","2","0.6","92"
"442","0.4","11","1001","1","0.6","100"
"445","0.4","11","1001","1","0.5","100"
"452","0.4","12","1001","4","0.5","40"
"451","0.4","12","1001","2","5.3","74"
"449","0.4","11","1001","1","0.6","100"
"448","0.4","11","1001","1","0.5","100"
"450","0.4","11","1001","1","3.8","100"
"454","0.4","12","1001","3","0.6","43"
"447","0.4","11","1001","1","1.7","100"
"455","0.4","12","1001","1","6.4","100"
"461","0.4","13","1001","3","0.5","39"
"458","0.4","12","1001","3","0.7","56"
"457","0.4","12","1001","2","0.5","87"
"453","0.4","12","1001","1","0.5","100"
"465","0.4","13","1001","2","0.5","78"
"464","0.4","13","1001","2","0.5","70"
"462","0.4","13","1001","2","0.5","89"
"466","0.4","13","1001","1","4","100"
"456","0.4","12","1001","1","0.6","100"
"459","0.4","12","1001","1","0.5","100"
"467","0.4","13","1001","2","0.5","52"
"460","0.4","12","1001","2","0.5","99"
"468","0.4","13","1001","2","0.6","68"
"471","0.4","14","1001","3","0.5","54"
"470","0.4","13","1001","2","0.5","65"
"463","0.4","13","1001","1","0.5","100"
"472","0.4","14","1001","2","0.5","71"
"469","0.4","13","1001","2","0.5","96"
"475","0.4","14","1001","3","0.6","48"
"481","0.4","15","1001","4","0.7","38"
"476","0.4","14","1001","2","0.5","52"
"477","0.4","14","1001","3","0.6","59"
"473","0.4","14","1001","1","0.5","100"
"480","0.4","14","1001","2","0.7","55"
"479","0.4","14","1001","3","0.5","71"
"474","0.4","14","1001","2","0.5","93"
"478","0.4","14","1001","2","0.7","50"
"482","0.4","15","1001","2","4.1","71"
"484","0.4","15","1001","2","4.5","77"
"486","0.4","15","1001","3","0.7","41"
"487","0.4","15","1001","2","0.6","63"
"485","0.4","15","1001","2","0.5","69"
"488","0.4","15","1001","2","0.5","59"
"490","0.4","15","1001","3","0.7","46"
"491","0.4","16","1001","3","0.6","62"
"483","0.4","15","1001","1","0.5","100"
"492","0.4","16","1001","3","0.6","38"
"494","0.4","16","1001","3","0.6","58"
"496","0.4","16","1001","4","0.5","37"
"489","0.4","15","1001","1","1.7","100"
"499","0.4","16","1001","2","0.5","62"
"498","0.4","16","1001","3","0.6","46"
"495","0.4","16","1001","2","0.5","78"
"500","0.4","16","1001","2","2.3","87"
"497","0.4","16","1001","2","0.6","73"
"502","0.4","17","1001","2","0.5","58"
"501","0.4","17","1001","1","3.2","100"
"493","0.4","16","1001","2","0.4","85"
"505","0.4","17","1001","2","3.8","51"
"507","0.4","17","1001","3","0.8","40"
"506","0.4","17","1001","2","0.6","62"
"503","0.4","17","1001","1","0.5","100"
"513","0.4","18","1001","3","0.6","61"
"504","0.4","17","1001","3","0.3","90"
"512","0.4","18","1001","2","0.4","81"
"515","0.4","18","1001","2","0.6","65"
"514","0.4","18","1001","2","0.6","50"
"517","0.4","18","1001","3","0.5","39"
"508","0.4","17","1002","2","0.6","78"
"510","0.4","17","1001","2","0.6","99"
"509","0.4","17","1001","1","0.5","100"
"511","0.4","18","1001","1","0.5","100"
"519","0.4","18","1001","1","3.6","100"
"516","0.4","18","1001","1","0.5","100"
"521","0.4","19","1001","3","0.6","49"
"522","0.4","19","1001","3","0.6","42"
"518","0.4","18","1001","2","0.5","73"
"524","0.4","19","1001","2","0.6","75"
"529","0.4","19","1001","3","0.5","72"
"527","0.4","19","1001","2","0.5","76"
"523","0.4","19","1001","2","0.6","61"
"528","0.4","19","1001","2","0.6","79"
"520","0.4","18","1001","1","0.7","100"
"525","0.4","19","1001","3","0.6","74"
"531","0.4","20","1001","3","0.4","56"
"532","0.4","20","1001","4","0.6","50"
"526","0.4","19","1001","1","0.7","100"
"530","0.4","19","1001","2","0.6","90"
"533","0.4","20","1001","2","0.6","72"
"534","0.4","20","1001","2","0.7","60"
"539","0.4","20","1001","2","0.6","64"
"535","0.4","20","1001","3","0.6","95"
"538","0.4","20","1001","1","0.5","100"
"540","0.4","20","1001","2","0.5","84"
"536","0.4","20","1001","2","0.5","99"
"537","0.4","20","1001","1","0.6","100"
"541","0.5","3","1001","1","1","100"
"542","0.5","3","1001","1","1","100"
"543","0.5","3","1001","1","0.9","100"
"544","0.5","3","1001","1","0.8","100"
"546","0.5","3","1001","1","0.8","100"
"545","0.5","3","1001","1","0.9","100"
"548","0.5","3","1001","1","0.9","100"
